categoria	caso	pais	es_legal	norma	notas
categoria_1	categoria_1_caso_1	México	no	Ley Federal del Derecho de Autor	NO ES LEGAL. Existe una excepción que permite la reproducción de partes de una obra para la crítica o la investigación. Esta excepción podría cubrir los aspectos de reproducción en este escenario únicamente si el artículo se comparte para la crítica o la investigación y si formara parte de un libro. No existe excepción para los actos de comunicación/puesta a disposición de obras a demanda y a distancia con fines educativos. Ver: Artículo 148.III (reproducción de partes de obras literarias o artísticas para la crítica y para la investigación).
categoria_1	categoria_1_caso_1	Nicaragua	no	Ley 312	NO ES LEGAL. Existe una excepción que permite la reproducción, por medio de la reprografía y para fines de enseñanza, de artículos aislados publicados en la prensa y de extractos cortos de obras publicadas, a condición de que esa reproducción se efectúe en establecimientos de enseñanza. Encontramos una limitación de lugar físico (la reproduccón debe realizarse en un establecimiento de enseñanza). No está claro si los "medios reprográficos" permiten las copias digitales. No está prevista la posibilidad de compartir cualquier tipo de artículo, sino solo artículos de prensa. No existe una excepción que permita la puesta a disposición al público a demanda y a distancia de una obra con fines educativos. Artículo 33 (reproducciones para fines de enseñanza), Artículo 40 (reproducciones, distribuciones y comunicaciones de artículos de actualidad). 
categoria_1	categoria_1_caso_1	Panamá	incierto	Ley 64	LEGALIDAD INCIERTA. Existe una excepción que permite la reproducción de artículos (entre otros), por medios reprográficos, para la enseñanza o la realización de exámenes en el seno de instituciones educativas. No está claro si los "medios reprográficos" incluyen las copias digitales. También existe una excepción que permite las comunicaciones de obras en el curso de las actividades de una institución de enseñanza con fines exclusivamente didácticos, limitada al personal y estudiantes de la institución. Podría interpretarse que esta excepción permite las copias temporales realizadas durante los actos de comunicación a distancia, pero no está claro. Ver: Artículo 69(1) (reproducciones para la enseñanza o realización de exámenes), Artículo 67(3) (comunicaciones en el curso de actividades de enseñanza).
categoria_1	categoria_1_caso_1	Paraguay	no	Ley 1328	NO ES LEGAL. Existe una excepción que permite la reproducción por medios reprográficos para la enseñanza o la realización de exámenes en instituciones educativas. Pero no es claro que los "medios reprográficos" incluyan las copias digitales. También existe una excepción que permite la comunicación con fines exclusivamente didácticos, a partir de copias únicas y personales que utilicen los docentes en establecimientos de enseñanza. En esta excepción encontramos una limitación de lugar físico (el acto de comunicación debe realizarse en un establecimiento de enseñanza) y no habilita la puesta a disposición al público a demanda y a distancia de una obra (en este caso, un artículo completo) con fines educativos. Ver: Artículo 39 (reproducciones para la enseñanza y realización de exámenes), Artículo 38(3) (comunicaciones en establecimientos de enseñanza).
categoria_1	categoria_1_caso_1	Perú	gratis	Decreto Legislativo 822	SÍ, ES LEGAL. Existe una excepción que permite la reproducción de artículos por medios reprográficos para la enseñanza o la realización de exámenes en el seno de instituciones educativas. No está claro si los "medios reprográficos" incluyen las copias digitales. También existe una excepción que permite las comunicaciones de obras en el curso de las actividades de una institución de enseñanza con fines exclusivamente didácticos, disponiéndose además que, si la comunicación consiste en obras reproducidas al amparo de la excepción de reproducción mencionada en la oración anterior, la audiencia debe limitarse al personal y estudiantes de la institución. Podría interpretarse que estas excepciones abarcan tanto los actos de reproducción como los de puesta a disposición a demanda y a distancia previstos en este escenario. Ver: Artículo 43(a) (reproducción reprográfica y digital para enseñanza y exámenes), Artículo 41(c) (comunicaciones con fines educativos).
categoria_1	categoria_1_caso_1	República Dominicana	no	Ley 65-00	NO ES LEGAL. Existe una excepción que permite la reproducción por medios reprográficos de artículos y de breves extractos de obras, para la enseñanza. No está claro si los "medios reprográficos" incluyen las copias digitales. También existe una excepción que permite los actos de comunicación pública que se realicen con fines educativos, pero se prevé expresamente que estos actos no deben implicar reproducción y que deben realizarse dentro del recinto o instalaciones de los institutos de educación. Encontramos una limitación de lugar físico (establecimiento de enseñanza). Además, los actos de comunicación no deben implicar reproducción, por lo que no se permite la puesta a disposición al público a demanda y a distancia de una obra con fines educativos. Ver: Artículo 32 (reproducciones para la enseñanza y la realización de exámenes), Artículo 44 (comunicaciones con fines educativos).
categoria_1	categoria_1_caso_1	Uruguay	no	Ley 9739	NO ES LEGAL. No existen excepciones que permitan las reproducciones con fines educativos. tampoco existen excepciones que permitan la puesta a disposición al público a demanda y a distancia de una obra (en este caso, un artículo completo) con fines educativos.
categoria_1	categoria_1_caso_1	Venezuela	no	Ley sobre el Derecho de Autor	NO ES LEGAL. Existe una excepción que permite la reproducción por medios reprográficos de artículos (y otros materiales), para la enseñanza o la realización de exámenes en instituciones educativas. Pero no está claro si los "medios reprográficos" incluyen las copias digitales. También existe una excepción que permite las comunicaciones efectuadas con fines exclusivamente científicos y didácticos, pero las limita a aquellas realizadas en establecimientos de enseñanza (limitación de lugar), por lo que no se permite la puesta a disposición al público de una obra a demanda y a distancia. Ver: Artículo 44(3) (reproducciones para la enseñanza y la realización de exámenes), Artículo 43(3) (comunicaciones con fines educativos).
categoria_1	categoria_1_caso_2	Argentina	no	Ley 11723	NO ES LEGAL. No hay excepciones para las reproducciones temporales realizadas durante transmisiones en línea, ni para las comunicaciones educativas al público a distancia. Existe una excepción que permite la inclusión con fines didácticos de fragmentos de una obra en otra obra, pero no es aplicable a obras audiovisuales. Existe una excepción que permite algunos actos de comunicación pública de obras (la representación, la ejecución y la recitación) con fines educativos, pero esos actos no pueden tener lugar fuera del establecimiento de enseñanza y solo aplican a obras literiarias o artísticas. Ver: Artículo 10 (comentario, crítica, obras didácticas, antologías), Artículo 36 (espectáculo escolar y radiodifusión pública por cualquier medio).
categoria_1	categoria_1_caso_2	Bolivia	no	Ley 1322	NO ES LEGAL. No existen excepciones para la reproducción temporal de un video completo realizada durante una transmisión con fines educativos, ni para comunicaciones educativas al público a distancia.
categoria_1	categoria_1_caso_2	Brasil	no	Ley 9610	NO ES LEGAL. Existe una excepción que permite la reproducción en otra obra de pequeños fragmentos de obras y de obras de artes plásticas completas, siempre que la reproducción no sea el objetivo principal de la nueva obra. Esta excepción no es aplicable en este escenario debido a la limitación de cantidad (no habilita la reproducción completa del video). No existen excepciones para la reproducción temporal de un video completo realizada durante una transmisión con fines educativos, ni para comunicaciones educativas al público a distancia. En cuanto a los derechos conexos sobre obras audiovisuales involucrados en este escenario, hay una disposición general que establece que todas las disposiciones que son aplicables al derecho de autor son aplicables a los derechos conexos, en lo que fuere aplicable, aunque no está claro si esto cubre las disposiciones sobre excepciones y limitaciones. Ver: Artículo 46.​​VIII (reproducción de extractos de obras en otra obra), Artículo 89 (disposiciones de derechos de autor aplicables a derechos conexos).
categoria_1	categoria_1_caso_2	Chile	incierto	Ley 17336	LEGALIDAD INCIERTA. Existe una excepción que cubre las reproducciones temporales realizadas durante transmisiones. Existe una disposición que establece que el uso de una obra (incluidos los fonogramas) en establecimientos educativos no se considera una comunicación pública/ejecución pública. Parece que esta excepción cubre los usos realizados en el contexto de las actividades proporcionadas por establecimientos educativos, y no necesariamente que la actividad deba limitarse físicamente a los locales del establecimiento educativo, pero no está claro. Estas excepciones se aplican también a los derechos conexos, incluyendo los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 71.N (comunicación/ejecución pública en establecimientos educativos), Artículo 71.O (Reproducciones Temporales), Artículo 71.A (las excepciones son aplicables a los derechos conexos).
categoria_1	categoria_1_caso_2	Colombia	no	Ley 1915 y Ley 23	NO ES LEGAL. Existe una excepción para las reproducciones temporales. Existe una excepción que permite el uso de una obra literaria o artística a título de ilustración en publicaciones, emisiones de radiodifusión o grabaciones destinadas a la enseñanza, pero una transmisión en vivo, que no se está grabando, difícilmente califica como una publicación, emisión de radiodifusión o grabación. Existe una disposición que establece que las comunicaciones/actuaciones con fines educativos no se consideran comunicaciones/actuaciones públicas, pero requieren que el uso tenga lugar "dentro del recinto o instalaciones de los institutos de educación". Existe una excepción que permite el uso de interpretaciones, fonogramas y transmisiones únicamente con fines didácticos. Ver: Ley 23 Artículo 32 (uso de una obra literaria o artística mediante ilustración en publicaciones, emisiones de radiodifusión o grabaciones), Ley 23 Artículo 98(2) (comunicación escolar de las obras cinematográficas), Ley 23 Artículo 178(c) (uso de interpretaciones, transmisiones, fonogramas con fines didácticos), Ley 1915 Artículo 16(a) (reproducciones temporales).
categoria_1	categoria_1_caso_2	Costa Rica	incierto	Ley 6683	LEGALIDAD INCIERTA. Existe una excepción que permite la utilización y reproducción, en la medida justificada por el fin perseguido, de las obras a título de ilustración de la enseñanza por medio de publicaciones (incluyendo a las grabaciones sonoras o visuales). Dado el alcance genérico de esta excepción podría entenderse que cubre este escenario, aunque no queda claro que los actos de reproducción temporal realizados durante transmisiones con fines educativos y los actos de comunicación al público a distancia puedan considerarse como "ilustración de la enseñanza por medio de publicaciones". También se encuentran exceptuados los derechos conexos sobre obras audiovisuales cuando se trate de utilización con fines docentes. Ver: Artículo 73 (utilización y reproducción a título de ilustración de la enseñanza), Artículo 73 bis (excepciones sobre derechos conexos).
categoria_1	categoria_1_caso_2	Cuba	incierto	Ley 14	LEGALIDAD INCIERTA. Existe una excepción que permite utilizar una obra a título de ilustración de la enseñanza (entre otros usos), incluso íntegramente si su breve extensión y naturaleza lo justifican. La autorización alcanza al uso de las obras en publicaciones, emisiones de radio o televisión, filmes o grabaciones sonoras o visuales. Dada la generalidad de la expresión "a título de ilustración de la enseñanza", la amplitud del verbo "utilizar" y la posibilidad de utilizar obras breves completas, podría entenderse que cubre el escenario propuesto. Pero no es claro que los actos de reproducción temporal durante una transmisión puedan ser considerados como "publicaciones, emisiones de radio o televisión, filmes o grabaciones sonoras o visuales". No son necesarias excepciones a los derechos conexos sobre obras audiovisuales ya que Cuba no prevé un régimen diferenciado que regule los derechos conexos. Ver: Artículo 38(b) (uso de una obra a título de ilustración de la enseñanza).
categoria_1	categoria_1_caso_2	Ecuador	gratis	Código Ingenios	SÍ, ES LEGAL. Existe una excepción que permite de forma genérica la ejecución y comunicación pública de obras con fines educativos. Dicha excepción es capaz de cubrir estos actos de uso en línea. Existe también una excepción para las reproducciones temporales realizadas durante transmisiones en línea. Ambas excepciones se aplican también a los derechos conexos, incluyendo los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 212.28 (comunicaciones con fines educativos), Artículo 212.23 (reproducciones temporales), Artículo 213 (las excepciones comprenden no solo los actos expresamente permitidos), Artículo 216 (las excepciones se aplican a los derechos conexos).
categoria_1	categoria_1_caso_2	El Salvador	no	Ley de Propiedad Intelectual (modificada por el Decreto Legislativo 611)	NO ES LEGAL. No existe una excepción para las reproducciones temporales realizadas durante transmisiones en línea. Hay una excepción que permite la reproducción por medios reprográficos de artículos, breves extractos u obras breves, para la enseñanza. No está claro si los "medios reprográficos" permiten realizar copias temporales durante transmisiones en línea. Hay una excepción que permite la reproducción de breves fragmentos de obras con fines educativos (entre otros fines). Esta excepción tiene limitaciones de cantidad que no son compatibles con la reproducción temporal de un video completo. Existe otra excepción que permite la comunicación de obras con fines didácticos en el marco de actividades docentes en un aula o en un lugar similar dedicado a la docencia. Esta excepción podría interpretarse como que permite las reproducciones temporales realizadas durante los actos de comunicación en línea, pero no está claro. Sin embargo, no existen excepciones aplicables a los derechos conexos sobre obras audiovisuales previstos en este escenario. Ver: Artículo 45(c) (reproducciones reprográficas para enseñanza y exámenes), Artículo 49(c) (reproducciones de fragmentos breves con fines educativos), Artículo 44(c) (comunicaciones con fines educativos).
